,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240
L,0,1.333,1.474,1.550,1.612,1.662,1.703,1.737,1.764,1.787,1.805,1.820,1.833,1.843,1.851,1.858,1.863,1.868,1.871,1.874,1.877,1.879,1.880,1.882,1.883
K,0,0.799,0.866,0.909,0.943,0.972,0.994,1.013,1.028,1.042,1.051,1.060,1.067,1.073,1.077,1.080,1.084,1.085,1.088,1.090,1.091,1.092,1.093,1.094,1.094
F,0,71.9,143.8,202.2,250.3,289.4,321.5,347.4,368.8,386.2,400.5,412.1,421.6,429.3,435.7,440.8,445.1,448.5,451.3,453.6,455.5,457.0,458.3,459.3,460.1
P,0,44.63,48.41,50.78,52.71,54.29,55.58,56.62,57.49,58.19,58.76,59.23,59.61,59.92,60.18,60.39,60.56,60.70,60.81,60.91,60.98,61.04,61.09,61.14,61.17
R,0,40.85,45.33,47.70,49.62,51.18,52.46,53.50,54.36,55.06,55.63,56.10,56.48,56.79,57.04,57.25,57.42,57.56,57.67,57.77,57.84,57.90,57.95,58.00,58.03
G,0,0.144,0.156,0.164,0.170,0.175,0.179,0.183,0.185,0.188,0.190,0.191,0.192,0.193,0.194,0.195,0.195,0.196,0.196,0.197,0.197,0.197,0.197,0.197,0.197
B,0,0.083,0.174,0.254,0.326,0.389,0.445,0.493,0.536,0.573,0.605,0.633,0.657,0.677,0.695,0.711,0.724,0.735,0.744,0.753,0.760,0.766,0.771,0.775,0.779
